Feature,Importance
Age,0.23033370815848064
GenHlth,0.1645453817719285
HighBP,0.1442145468090189
HighChol,0.09121622747309466
DiffWalk,0.06938510915020966
Stroke,0.05473893980651142
Sex,0.05088970013504947
PhysHlth,0.04133850869947399
Diabetes,0.038613169137191955
Income,0.02505380180588384
Smoker,0.023682486506429505
BMI,0.019825552189370016
MentHlth,0.012203780169980824
Education,0.009650962817716685
PhysActivity,0.004630238477647678
CholCheck,0.004295787571747075
NoDocbcCost,0.0034218895675464218
Fruits,0.0032558500936956717
HvyAlcoholConsump,0.0030533060369433763
AnyHealthcare,0.002933966759462399
Veggies,0.002717086862617313
